date,PRECTOTCORR,T2M,RH2M
20210521,19.78,27.46,83.86
20210522,14.77,27.52,88.45
20210523,12.88,27.65,88.1
20210524,28.07,27.61,89.92
20210525,35.07,26.92,88.26
20210526,15.86,26.91,84.48
20210527,8.54,26.93,84.89
20210528,5.78,27.19,86.36
20210529,3.52,27.24,88.32
20210530,1.51,27.31,87.52
20210531,1.34,27.18,87.81
20210601,0.95,27.22,85.64
20210602,9.9,27.27,87.24
20210603,21.72,27.23,86.91
20210604,75.05,26.41,91.95
20210605,8.29,26.22,89.71
20210606,4.01,26.9,86.14
20210607,4.0,26.8,88.31
20210608,17.61,26.98,89.7
20210609,7.74,26.46,88.71
20210610,3.1,26.8,87.9
20210611,0.83,26.88,84.4
20210612,2.2,27.05,85.14
20210613,10.87,26.96,87.3
20210614,23.94,26.42,88.73
20210615,1.06,26.63,86.25
20210616,0.73,26.67,86.65
20210617,0.98,26.71,87.75
20210618,0.65,26.5,90.75
20210619,0.34,26.65,87.28
20210620,0.1,26.41,86.95
20210621,0.43,26.66,88.01
20210622,2.97,26.88,88.33
20210623,2.89,26.59,85.56
20210624,10.03,26.46,87.86
20210625,2.43,26.72,86.91
20210626,2.2,26.5,84.97
20210627,4.3,26.5,86.09
20210628,2.23,26.5,84.7
20210629,1.45,26.6,85.41
20210630,2.82,26.64,88.57
20210701,15.8,26.58,87.89
20210702,1.61,26.69,85.5
20210703,3.51,26.79,88.04
20210704,6.35,26.4,88.93
20210705,7.18,26.51,88.17
20210706,4.8,26.5,87.46
20210707,5.11,26.35,87.67
20210708,6.23,26.81,88.75
20210709,19.95,26.61,87.64
20210710,20.06,25.89,88.99
20210711,3.37,26.29,86.77
20210712,4.52,26.17,88.86
20210713,3.49,25.98,88.14
20210714,1.05,26.02,90.24
20210715,1.04,26.19,88.88
20210716,1.13,25.99,89.92
20210717,1.48,26.49,87.28
20210718,2.26,26.3,89.63
20210719,0.61,26.44,88.07
20210720,0.25,26.44,88.77
20210721,0.91,26.58,88.36
20210722,4.45,26.53,90.43
20210723,10.2,26.48,87.97
20210724,10.33,26.24,84.63
20210725,18.5,26.13,87.93
20210726,12.98,26.23,86.9
20210727,14.44,26.41,89.58
20210728,4.7,26.28,89.22
20210729,0.64,26.21,87.97
20210730,0.52,26.46,88.0
20210731,0.27,26.24,88.27
20210801,0.43,26.15,89.13
20210802,1.13,26.28,88.21
20210803,0.38,26.09,84.77
20210804,1.36,26.4,88.82
20210805,4.75,26.34,88.92
20210806,4.13,26.49,89.29
20210807,7.6,26.33,89.85
20210808,7.47,25.68,89.46
20210809,13.82,25.55,89.41
20210810,2.05,25.93,86.71
20210811,9.43,26.04,88.25
20210812,14.02,26.0,87.76
20210813,3.09,25.91,87.57
20210814,1.18,25.87,86.91
20210815,0.86,25.98,89.13
20210816,1.89,25.82,89.01
20210817,2.95,25.82,90.37
20210818,5.41,25.69,86.92
20210819,1.38,26.05,87.48
20210820,1.58,26.41,86.88
20210821,6.92,26.11,88.48
20210822,4.25,26.06,87.5
20210823,2.59,25.74,87.25
20210824,3.22,25.91,85.92
20210825,14.17,26.28,88.0
20210826,17.05,26.54,86.38
20210827,10.25,26.6,87.04
20210828,9.87,26.29,88.23
20210829,12.08,25.99,86.98
20210830,3.65,26.16,86.92
20210831,1.15,26.45,88.02
20210901,4.56,26.56,87.03
20210902,6.28,26.37,87.27
20210903,4.9,26.23,86.97
20210904,6.68,26.3,87.68
20210905,11.35,26.77,87.45
20210906,8.51,26.48,87.94
20210907,5.43,26.49,87.32
20210908,4.57,26.22,87.34
20210909,1.42,26.5,85.35
20210910,2.31,26.66,85.87
20210911,1.44,26.43,85.62
20210912,2.39,26.39,84.82
20210913,6.58,26.47,86.43
20210914,5.45,26.62,88.4
20210915,6.64,26.91,89.95
20210916,8.29,26.24,88.87
20210917,6.0,26.32,88.72
20210918,6.65,26.39,86.65
20210919,2.83,26.68,88.21
20210920,5.86,26.72,88.27
20210921,6.33,26.52,89.33
20210922,2.94,26.74,88.08
20210923,5.05,26.86,85.56
20210924,16.09,27.09,85.95
20210925,6.18,26.39,84.5
20210926,14.33,26.45,87.01
20210927,13.72,25.61,87.51
20210928,8.07,26.06,86.26
20210929,1.05,26.4,86.87
20210930,7.1,26.39,86.4
20211001,43.12,25.21,88.27
20211002,13.63,25.46,88.26
20211003,3.08,25.93,88.57
20211004,10.25,26.18,90.16
20211005,24.65,25.94,90.26
20211006,16.25,26.17,88.58
20211007,1.07,26.5,88.68
20211008,1.14,26.55,86.77
20211009,2.03,26.52,86.12
20211010,13.07,26.67,88.23
20211011,18.78,26.22,87.76
20211012,5.2,26.46,84.24
20211013,0.82,26.63,86.53
20211014,0.98,26.88,87.81
20211015,2.0,26.95,87.48
20211016,6.33,26.92,86.39
20211017,3.24,26.61,87.8
20211018,3.01,26.84,86.68
20211019,4.97,26.63,83.84
20211020,14.81,26.88,84.94
20211021,33.26,26.74,86.1
20211022,9.53,26.55,85.41
20211023,9.21,26.09,85.24
20211024,10.47,25.84,85.16
20211025,10.69,26.3,86.52
20211026,21.41,25.64,87.21
20211027,14.6,25.83,85.73
20211028,9.18,25.77,87.57
20211029,26.3,25.18,90.49
20211030,23.0,26.04,86.81
20211031,37.3,26.45,90.51
20211101,33.65,25.65,90.76
20211102,14.7,26.28,84.85
20211103,14.79,25.86,87.62
20211104,17.62,25.61,88.88
20211105,13.13,25.93,88.3
20211106,15.18,26.16,87.49
20211107,26.31,25.9,86.79
20211108,36.77,25.63,85.64
20211109,28.3,24.84,89.67
20211110,13.81,25.78,88.56
20211111,7.23,25.82,88.14
20211112,10.02,26.41,85.58
20211113,9.56,26.19,86.11
20211114,10.43,26.41,88.18
20211115,14.82,26.42,89.37
20211116,12.51,25.95,91.51
20211117,14.58,25.89,89.62
20211118,6.36,25.8,87.06
20211119,12.47,26.16,88.33
20211120,2.11,25.71,83.75
20211121,0.12,25.81,78.77
20211122,0.32,25.85,83.06
20211123,12.88,26.02,86.72
20211124,41.82,25.63,89.95
20211125,16.29,25.31,91.86
20211126,5.57,26.16,89.8
20211127,17.89,26.25,86.1
20211128,24.35,25.63,90.05
20211129,9.74,25.71,87.25
20211130,12.38,26.52,80.9
20211201,3.82,27.28,79.31
20211202,5.81,26.59,84.73
20211203,3.12,26.58,83.68
20211204,4.99,26.59,85.04
20211205,6.09,26.65,82.0
20211206,6.92,26.66,83.0
20211207,0.59,26.42,80.23
20211208,2.08,26.32,83.34
20211209,12.88,26.41,83.17
20211210,1.65,26.13,83.95
20211211,0.97,26.46,84.19
20211212,5.16,26.34,84.5
20211213,12.05,25.97,88.45
20211214,4.78,25.68,87.75
20211215,3.84,25.59,88.39
20211216,2.61,25.95,86.07
20211217,0.8,25.89,83.92
20211218,7.92,25.88,86.06
20211219,3.24,26.01,84.77
20211220,0.19,25.85,85.05
20211221,0.14,26.09,83.93
20211222,0.87,26.27,82.37
20211223,0.59,25.54,82.34
20211224,0.13,24.59,78.58
20211225,0.0,24.3,77.2
20211226,0.02,24.54,77.83
20211227,0.01,24.89,80.03
20211228,0.01,24.88,80.34
20211229,0.16,25.27,82.43
20211230,1.24,26.24,81.9
20211231,2.27,26.5,80.41
20220101,4.03,26.68,83.19
20220102,3.49,26.42,84.8
20220103,17.9,26.01,87.43
20220104,4.02,26.16,86.17
20220105,3.68,26.1,86.58
20220106,3.02,26.2,86.73
20220107,2.88,26.43,84.16
20220108,1.57,25.84,85.18
20220109,3.05,25.96,84.14
20220110,1.6,25.73,85.01
20220111,0.44,26.15,84.39
20220112,1.25,26.54,84.18
20220113,2.46,26.98,82.87
20220114,0.62,26.88,83.0
20220115,0.76,27.13,80.43
20220116,6.26,26.57,83.16
20220117,3.28,26.18,83.14
20220118,1.31,25.99,82.98
20220119,0.13,25.57,80.27
20220120,0.0,24.67,75.72
20220121,0.0,24.36,72.19
20220122,0.0,25.2,67.9
20220123,0.0,25.42,77.16
20220124,0.11,25.34,77.49
20220125,0.34,24.92,80.61
20220126,0.45,25.06,80.7
20220127,0.17,24.76,76.19
20220128,0.28,25.58,80.07
20220129,1.07,26.79,83.41
20220130,0.75,26.93,80.65
20220131,4.18,26.75,82.84
20220201,0.09,25.49,77.85
20220202,0.0,25.04,73.92
20220203,0.01,25.49,76.15
20220204,0.0,25.78,73.29
20220205,0.1,26.21,72.52
20220206,0.06,25.63,73.36
20220207,0.68,25.55,80.37
20220208,0.01,25.39,74.72
20220209,0.3,25.05,75.4
20220210,5.41,25.71,83.81
20220211,5.56,26.24,80.87
20220212,21.58,26.18,80.88
20220213,11.71,25.19,88.64
20220214,1.99,25.8,82.77
20220215,0.02,25.64,76.66
20220216,0.0,25.29,76.62
20220217,0.0,25.2,74.21
20220218,4.37,25.85,77.27
20220219,15.02,26.24,85.52
20220220,1.16,26.37,85.93
20220221,0.7,27.3,79.9
20220222,2.07,26.94,77.35
20220223,43.25,26.18,79.04
20220224,34.01,26.31,82.86
20220225,2.09,26.15,80.59
20220226,5.3,26.67,81.78
20220227,0.42,26.17,79.86
20220228,0.04,25.76,79.25
20220301,0.04,25.99,78.26
20220302,0.55,25.7,81.34
20220303,0.54,26.23,81.44
20220304,2.53,26.06,85.28
20220305,0.31,26.34,83.31
20220306,0.01,26.52,80.79
20220307,4.85,26.78,82.78
20220308,7.88,27.13,80.75
20220309,0.25,26.59,76.26
20220310,0.97,26.87,75.84
20220311,4.92,26.67,78.2
20220312,7.22,26.75,81.07
20220313,1.76,26.92,79.89
20220314,0.57,27.31,77.78
20220315,0.25,26.72,77.01
20220316,0.49,26.84,80.42
20220317,8.85,27.46,80.51
20220318,2.93,27.09,79.21
20220319,2.78,26.92,84.1
20220320,1.5,27.21,82.56
20220321,0.28,27.24,81.31
20220322,0.15,27.36,79.94
20220323,0.17,27.43,81.0
20220324,0.28,27.25,78.28
20220325,0.49,27.47,77.08
20220326,2.32,27.72,77.49
20220327,3.63,27.78,77.9
20220328,3.35,27.91,80.13
20220329,5.45,27.93,79.85
20220330,13.55,27.24,83.73
20220331,3.45,27.45,80.86
20220401,3.5,27.19,83.8
20220402,6.56,26.98,83.72
20220403,4.35,26.88,81.28
20220404,14.54,27.29,80.92
20220405,64.04,26.38,86.4
20220406,61.86,25.95,84.31
20220407,17.03,27.63,77.77
20220408,25.69,26.72,84.2
20220409,7.75,26.56,83.13
20220410,38.06,26.35,85.13
20220411,23.07,26.88,84.45
20220412,14.18,26.88,86.78
20220413,6.49,26.24,89.12
20220414,3.36,26.75,84.98
20220415,3.06,26.99,85.65
20220416,1.76,27.28,85.61
20220417,3.45,27.4,85.84
20220418,5.77,27.19,87.73
20220419,11.36,27.18,88.08
20220420,5.18,27.5,87.5
20220421,5.83,27.45,87.59
20220422,18.24,27.1,88.11
20220423,8.29,26.58,83.76
20220424,6.63,27.76,79.11
20220425,12.23,27.47,86.11
20220426,7.28,28.08,82.18
20220427,19.18,28.05,83.03
20220428,14.61,27.43,86.5
20220429,8.41,27.64,85.34
20220430,4.75,27.73,86.32
20220501,8.1,27.6,86.73
20220502,8.18,28.05,87.73
20220503,2.82,28.15,88.49
20220504,4.19,27.97,86.52
20220505,8.98,27.87,86.61
20220506,3.07,27.21,80.3
20220507,2.55,27.6,85.93
20220508,2.11,28.01,86.51
20220509,11.06,27.96,87.21
20220510,8.51,27.37,87.61
20220511,2.73,27.35,86.55
20220512,17.65,27.42,87.63
20220513,13.21,27.28,87.13
20220514,25.24,27.01,85.14
20220515,13.02,26.97,85.9
20220516,6.36,27.06,89.22
20220517,11.81,27.24,89.47
20220518,9.51,27.21,89.04
20220519,9.63,26.93,88.73
20220520,3.36,26.99,89.26
20220521,1.93,27.0,87.67
20220522,1.81,27.12,87.11
20220523,5.8,27.08,89.1
20220524,18.78,26.97,89.69
20220525,9.36,26.72,88.97
20220526,11.74,26.69,89.0
20220527,9.1,26.77,86.28
20220528,8.82,26.76,87.65
20220529,12.68,26.69,88.56
20220530,31.34,26.69,88.34
20220531,18.25,26.08,86.71
20220601,10.32,26.55,86.64
20220602,7.89,26.76,86.84
20220603,5.77,26.79,89.69
20220604,2.25,26.54,90.09
20220605,2.57,26.54,88.34
20220606,3.69,26.61,87.87
20220607,2.81,26.32,88.84
20220608,2.66,26.53,88.25
20220609,2.36,26.55,89.82
20220610,2.87,26.72,87.62
20220611,3.33,26.03,88.76
20220612,3.08,26.1,87.76
20220613,2.55,25.9,88.84
20220614,3.03,27.01,85.72
20220615,4.98,26.25,87.95
20220616,15.09,25.54,90.53
20220617,5.77,25.7,89.72
20220618,9.48,25.83,88.63
20220619,2.19,26.25,86.55
20220620,2.64,26.58,87.99
20220621,1.68,26.45,88.14
20220622,1.72,26.4,87.86
20220623,2.47,26.43,85.66
20220624,3.37,26.98,86.11
20220625,3.78,26.75,84.51
20220626,2.6,26.87,85.65
20220627,0.38,26.92,86.46
20220628,0.82,26.59,87.24
20220629,1.43,26.82,86.37
20220630,1.59,26.54,87.87
20220701,0.57,26.55,87.63
20220702,3.42,26.61,87.8
20220703,8.24,25.93,88.56
20220704,2.73,25.86,87.98
20220705,1.88,25.73,88.4
20220706,1.52,25.88,86.72
20220707,2.18,25.45,88.98
20220708,0.52,25.64,87.5
20220709,0.45,25.83,86.96
20220710,4.03,25.94,84.34
20220711,1.47,25.76,82.11
20220712,0.13,25.54,87.51
20220713,0.36,26.19,85.58
20220714,1.24,26.44,84.21
20220715,1.07,26.43,87.45
20220716,1.65,26.35,89.16
20220717,2.03,26.46,89.04
20220718,1.56,26.11,89.47
20220719,3.57,26.56,85.13
20220720,9.13,25.81,90.06
20220721,6.51,25.52,90.08
20220722,7.23,25.67,88.46
20220723,4.57,25.66,87.3
20220724,1.45,26.13,86.6
20220725,3.62,25.73,89.64
20220726,8.21,25.95,88.82
20220727,7.05,26.32,85.17
20220728,9.09,26.14,82.9
20220729,2.49,26.99,79.79
20220730,5.84,25.76,86.0
20220731,6.83,25.44,89.96
20220801,28.94,25.62,89.85
20220802,19.02,25.51,86.83
20220803,11.65,25.77,88.12
20220804,11.18,25.57,87.74
20220805,8.28,25.92,87.22
20220806,2.27,25.9,85.38
20220807,1.45,25.52,90.18
20220808,1.34,25.62,92.16
20220809,0.57,25.68,91.14
20220810,0.01,25.98,87.69
20220811,0.01,26.17,87.37
20220812,0.04,26.28,87.42
20220813,0.06,26.35,86.73
20220814,0.45,25.99,88.43
20220815,0.75,26.02,88.64
20220816,0.58,26.28,86.78
20220817,0.89,26.2,85.1
20220818,1.99,26.15,86.72
20220819,1.5,26.21,87.92
20220820,1.2,26.14,87.55
20220821,2.5,26.13,87.24
20220822,7.91,25.93,87.86
20220823,3.84,25.77,87.14
20220824,1.46,25.47,88.82
20220825,3.49,25.47,88.0
20220826,10.38,24.91,89.31
20220827,6.79,24.45,87.33
20220828,1.9,25.4,84.67
20220829,1.83,25.55,85.71
20220830,30.14,25.74,88.59
20220831,49.78,24.7,89.93
20220901,10.95,25.29,88.72
20220902,4.19,25.83,86.23
20220903,3.27,25.64,89.82
20220904,7.09,25.67,92.27
20220905,37.98,25.81,92.49
20220906,7.37,25.57,90.27
20220907,2.1,25.49,88.41
20220908,0.42,25.57,85.41
20220909,0.26,25.82,89.13
20220910,1.0,25.94,88.66
20220911,0.88,25.99,88.5
20220912,0.37,25.76,87.82
20220913,0.11,25.89,86.27
20220914,0.13,25.8,86.58
20220915,0.07,25.85,86.5
20220916,0.06,25.9,86.22
20220917,0.03,26.14,83.48
20220918,0.07,26.35,83.79
20220919,0.7,26.48,83.79
20220920,0.25,26.65,85.16
20220921,0.6,26.15,87.11
20220922,0.29,26.57,83.15
20220923,0.22,26.42,81.61
20220924,0.17,25.97,85.61
20220925,1.55,26.46,84.91
20220926,1.64,26.34,86.43
20220927,0.71,26.65,84.04
20220928,2.53,26.4,84.58
20220929,3.69,26.36,85.36
20220930,7.85,26.03,86.31
20221001,9.65,26.23,85.17
20221002,7.39,25.9,87.56
20221003,8.24,25.89,83.69
20221004,3.9,26.19,85.96
20221005,2.65,25.63,85.55
20221006,0.79,26.1,84.87
20221007,0.79,26.26,84.33
20221008,1.9,26.08,84.31
20221009,4.7,25.93,86.24
20221010,2.47,25.97,87.22
20221011,2.56,26.95,82.2
20221012,9.9,26.44,85.84
20221013,28.32,25.62,89.96
20221014,34.64,25.76,89.45
20221015,21.86,25.46,88.96
20221016,19.99,26.02,85.53
20221017,13.58,25.7,87.92
20221018,18.65,25.64,86.95
20221019,13.44,25.91,87.62
20221020,15.41,25.87,87.05
20221021,24.74,25.27,89.48
20221022,21.04,25.14,89.44
20221023,16.73,25.42,89.55
20221024,11.05,25.48,89.55
20221025,5.38,26.02,88.51
20221026,6.15,26.37,87.04
20221027,1.38,26.41,78.24
20221028,0.01,26.24,77.81
20221029,2.85,26.39,77.93
20221030,10.57,26.56,82.41
20221031,12.24,26.34,88.23
20221101,20.92,25.51,91.53
20221102,11.76,25.31,87.72
20221103,11.87,25.91,85.86
20221104,9.33,25.69,86.47
20221105,38.75,24.75,89.38
20221106,19.25,26.43,85.39
20221107,6.27,26.33,82.3
20221108,22.87,26.01,88.63
20221109,3.99,25.83,87.59
20221110,1.78,25.89,84.8
20221111,20.09,25.38,86.87
20221112,3.97,25.36,87.86
20221113,16.66,25.81,83.8
20221114,41.16,25.58,86.69
20221115,20.34,25.83,83.32
20221116,4.6,25.7,84.7
20221117,0.68,25.04,81.16
20221118,0.0,25.15,79.93
20221119,0.1,25.17,85.07
20221120,0.45,25.33,84.72
20221121,0.47,25.23,80.89
20221122,0.35,26.09,80.16
20221123,0.01,26.16,79.75
20221124,0.04,26.31,80.03
20221125,0.05,25.95,77.09
20221126,2.12,26.41,76.37
20221127,5.84,27.04,74.03
20221128,6.27,26.6,80.98
20221129,2.75,26.28,79.82
20221130,0.98,25.84,80.83
20221201,1.66,27.3,75.04
20221202,12.69,26.62,75.67
20221203,17.54,26.31,75.99
20221204,29.44,26.06,82.35
20221205,9.5,26.43,80.9
20221206,1.8,25.78,85.33
20221207,0.35,24.74,84.3
20221208,1.2,24.72,84.55
20221209,6.94,25.29,79.22
20221210,14.43,25.91,85.01
20221211,15.46,26.06,84.25
20221212,2.04,26.37,82.11
20221213,1.24,25.87,82.98
20221214,1.96,26.28,78.35
20221215,2.67,25.88,81.04
20221216,0.99,25.37,83.02
20221217,2.22,25.07,85.74
20221218,7.72,25.36,86.29
20221219,14.8,24.93,89.77
20221220,6.41,25.47,89.37
20221221,10.28,25.19,90.81
20221222,2.85,25.29,88.99
20221223,5.34,25.87,88.53
20221224,13.59,25.82,88.74
20221225,63.44,25.64,91.89
20221226,8.08,25.26,91.52
20221227,1.4,25.84,82.35
20221228,2.74,26.02,83.83
20221229,0.22,25.05,84.15
20221230,0.01,24.52,83.36
20221231,0.0,24.38,83.03
20230101,0.0,24.43,84.02
20230102,0.0,24.39,82.0
20230103,0.01,24.44,80.6
20230104,0.1,24.7,80.96
20230105,0.69,25.26,86.07
20230106,5.38,25.35,89.12
20230107,11.17,25.41,88.98
20230108,3.37,25.33,85.78
20230109,0.36,25.08,83.05
20230110,0.01,24.34,80.38
20230111,0.0,23.43,77.64
20230112,0.0,23.29,77.63
20230113,0.0,24.05,78.23
20230114,0.18,24.62,80.47
20230115,2.5,25.21,83.28
20230116,19.56,25.64,86.21
20230117,6.57,25.75,82.87
20230118,0.24,24.77,81.11
20230119,0.0,23.65,79.52
20230120,0.04,23.74,80.31
20230121,0.41,24.21,82.0
20230122,2.78,24.6,85.81
20230123,3.39,25.23,85.35
20230124,19.24,25.5,80.63
20230125,3.49,25.31,81.64
20230126,2.6,25.25,81.8
20230127,1.53,25.0,84.55
20230128,0.26,24.6,78.99
20230129,0.05,24.75,82.6
20230130,3.04,24.67,85.95
20230131,3.48,24.42,86.99
20230201,3.87,24.88,90.62
20230202,9.86,25.72,88.04
20230203,11.89,25.77,87.19
20230204,6.11,25.72,86.93
20230205,1.04,25.82,83.39
20230206,1.89,25.16,86.52
20230207,1.79,25.83,85.88
20230208,0.33,25.92,83.33
20230209,0.71,25.86,81.7
20230210,1.01,25.27,82.62
20230211,1.18,24.57,78.76
20230212,3.19,25.06,77.68
20230213,0.22,24.98,79.09
20230214,0.39,24.84,80.05
20230215,0.02,23.95,76.27
20230216,0.0,23.9,77.95
20230217,0.0,24.69,79.66
20230218,1.67,25.98,82.29
20230219,16.23,26.1,84.72
20230220,15.78,26.05,84.06
20230221,1.4,25.71,82.18
20230222,0.08,25.64,74.67
20230223,0.16,25.92,75.49
20230224,5.74,26.12,78.1
20230225,2.88,26.17,77.9
20230226,0.22,24.74,75.74
20230227,1.25,25.12,76.96
20230228,6.16,26.49,83.2
20230301,1.19,26.49,80.95
20230302,0.18,26.43,77.42
20230303,0.25,26.31,76.85
20230304,4.48,26.41,80.46
20230305,2.04,26.7,80.27
20230306,4.21,26.48,81.17
20230307,4.79,26.78,80.09
20230308,0.54,26.61,78.65
20230309,0.45,26.94,78.35
20230310,0.3,26.52,78.97
20230311,8.4,26.91,80.4
20230312,5.17,27.12,80.86
20230313,10.66,26.69,81.02
20230314,2.59,27.33,76.98
20230315,4.27,27.47,78.77
20230316,8.45,27.46,81.2
20230317,1.55,27.07,76.28
20230318,9.67,27.29,76.75
20230319,10.36,27.38,81.71
20230320,4.95,26.77,83.92
20230321,2.13,27.48,79.21
20230322,7.0,26.88,84.82
20230323,3.98,27.08,80.67
20230324,28.12,27.33,81.52
20230325,1.74,27.73,77.63
20230326,1.1,27.62,76.12
20230327,1.8,27.75,78.19
20230328,1.66,27.65,79.7
20230329,3.01,27.68,80.84
20230330,6.21,27.41,81.3
20230331,2.07,27.73,80.19
20230401,3.46,27.48,80.65
20230402,6.55,27.46,82.88
20230403,5.05,27.31,82.94
20230404,21.27,26.62,84.74
20230405,6.8,27.01,82.62
20230406,5.4,27.24,81.68
20230407,7.24,28.57,70.56
20230408,16.93,27.85,75.23
20230409,3.52,28.28,71.46
20230410,1.15,28.1,74.02
20230411,0.15,28.0,72.41
20230412,0.04,28.04,73.3
20230413,1.99,28.39,76.06
20230414,3.77,27.75,83.72
20230415,6.39,27.99,81.86
20230416,5.35,27.28,82.88
20230417,0.31,27.93,79.66
20230418,0.19,28.41,77.79
20230419,0.23,28.03,81.43
20230420,1.07,27.97,82.08
20230421,5.76,28.37,80.33
20230422,5.11,27.99,82.42
20230423,3.38,28.31,83.95
20230424,6.39,28.08,84.57
20230425,12.51,27.21,86.58
20230426,21.86,27.73,75.01
20230427,9.98,28.37,75.58
20230428,14.49,28.0,78.0
20230429,32.27,27.95,80.88
20230430,10.99,28.4,79.94
20230501,36.8,27.39,85.75
20230502,8.52,27.8,83.2
20230503,13.94,27.29,85.12
20230504,38.15,26.5,85.32
20230505,30.86,26.13,85.17
20230506,5.49,27.02,83.61
20230507,14.67,27.24,81.2
20230508,5.07,27.23,82.46
20230509,13.04,27.22,81.73
20230510,10.46,27.14,82.82
20230511,3.18,27.56,83.83
20230512,7.44,27.91,84.32
20230513,5.19,27.74,86.51
20230514,3.8,28.08,86.27
20230515,2.19,28.11,88.29
20230516,1.75,28.19,87.35
20230517,3.33,28.19,85.84
20230518,5.34,27.9,83.58
20230519,4.9,27.17,88.0
20230520,5.45,27.35,88.25
20230521,4.71,27.31,88.36
20230522,1.37,27.44,87.11
20230523,2.06,27.15,86.03
20230524,0.57,26.99,87.21
20230525,0.25,27.18,88.39
20230526,0.69,27.75,86.63
20230527,1.15,27.91,85.05
20230528,0.83,28.3,84.27
20230529,1.93,28.13,85.59
20230530,10.27,27.57,88.27
20230531,5.77,27.51,83.57
20230601,12.56,27.53,84.77
20230602,8.23,27.64,87.77
20230603,2.6,27.33,86.2
20230604,2.65,27.42,84.4
20230605,6.51,27.57,84.99
20230606,4.82,27.53,86.18
20230607,6.02,27.57,84.11
20230608,5.18,27.48,84.12
20230609,4.09,27.58,86.49
20230610,4.81,27.49,86.42
20230611,5.14,27.45,87.09
20230612,9.1,27.62,87.74
20230613,13.81,27.24,90.2
20230614,4.56,27.24,84.33
20230615,1.56,27.26,90.56
20230616,1.54,27.71,85.8
20230617,1.77,27.09,87.36
20230618,3.4,27.09,85.94
20230619,1.74,26.98,88.23
20230620,2.22,27.21,86.11
20230621,2.2,27.35,85.37
20230622,3.63,27.48,86.46
20230623,2.74,27.37,87.52
20230624,3.75,27.15,87.67
20230625,6.13,26.77,88.52
20230626,5.81,26.43,86.0
20230627,6.48,26.56,86.35
20230628,5.64,26.79,87.83
20230629,11.26,26.54,88.07
20230630,10.03,26.75,89.95
20230701,4.65,26.82,89.33
20230702,11.8,26.49,87.8
20230703,4.01,25.74,86.95
20230704,15.66,26.39,86.7
20230705,15.67,26.18,87.6
20230706,2.46,26.24,87.8
20230707,5.35,26.12,88.36
20230708,2.47,26.37,87.22
20230709,0.51,27.0,84.0
20230710,2.42,26.41,89.28
20230711,1.09,26.55,88.38
20230712,0.89,26.72,89.42
20230713,2.62,26.81,87.41
20230714,0.9,26.6,85.1
20230715,1.48,26.64,86.98
20230716,1.24,26.81,88.3
20230717,0.58,26.96,89.05
20230718,1.95,26.87,89.48
20230719,3.48,26.93,87.73
20230720,3.3,26.81,88.16
20230721,0.67,26.86,87.46
20230722,0.26,26.73,87.03
20230723,2.38,26.93,84.55
20230724,5.54,26.34,89.54
20230725,6.19,26.54,87.87
20230726,6.6,26.61,87.68
20230727,0.26,26.71,86.16
20230728,0.09,26.78,86.29
20230729,0.22,26.78,87.48
20230730,0.35,26.62,87.2
20230731,0.58,26.84,87.6
20230801,0.14,26.39,90.71
20230802,0.1,26.41,89.64
20230803,0.22,26.64,88.91
20230804,0.35,26.65,88.66
20230805,0.36,26.76,88.52
20230806,1.17,27.24,83.31
20230807,0.55,26.96,86.71
20230808,0.83,26.58,90.25
20230809,1.84,26.52,87.53
20230810,2.38,26.45,87.92
20230811,4.65,26.84,86.71
20230812,1.84,26.85,86.02
20230813,1.37,27.58,79.57
20230814,0.31,27.46,79.92
20230815,0.33,26.78,79.97
20230816,0.35,26.77,81.32
20230817,0.74,26.79,83.21
20230818,1.13,26.97,83.25
20230819,0.17,27.11,82.56
20230820,0.06,26.98,82.96
20230821,0.2,27.29,83.15
20230822,1.65,27.39,83.57
20230823,2.11,27.18,84.58
20230824,1.31,27.29,83.19
20230825,0.43,27.17,83.72
20230826,0.3,27.37,83.9
20230827,1.56,27.41,83.52
20230828,5.35,27.65,84.16
20230829,16.09,27.34,84.75
20230830,14.93,26.14,87.97
20230831,17.49,26.62,83.3
20230901,14.08,26.71,85.51
20230902,28.81,26.74,86.85
20230903,27.09,26.3,86.27
20230904,19.21,26.77,82.56
20230905,14.99,26.95,85.74
20230906,17.8,26.78,88.32
20230907,24.47,26.47,86.69
20230908,5.8,26.48,86.83
20230909,2.55,26.85,84.95
20230910,4.74,26.75,86.69
20230911,12.88,25.99,83.39
20230912,7.0,26.67,84.31
20230913,6.59,26.77,86.5
20230914,12.16,26.51,88.4
20230915,5.68,26.59,82.34
20230916,1.31,26.9,84.6
20230917,17.82,26.53,87.74
20230918,7.51,25.95,87.89
20230919,26.75,26.38,86.07
20230920,9.13,26.32,85.78
20230921,3.95,26.26,84.06
20230922,19.23,26.49,86.3
20230923,5.86,26.92,87.27
20230924,3.26,26.51,88.06
20230925,7.15,26.99,85.83
20230926,9.02,27.0,86.03
20230927,25.95,26.27,87.62
20230928,20.09,26.32,84.43
20230929,37.97,26.67,87.67
20230930,9.03,26.29,87.22
20231001,23.15,26.21,86.35
20231002,24.98,26.16,88.28
20231003,16.72,26.42,88.95
20231004,27.71,25.92,87.47
20231005,14.6,26.18,88.83
20231006,34.15,26.44,88.8
20231007,11.21,26.53,88.76
20231008,13.31,26.76,88.94
20231009,10.24,26.77,88.26
20231010,20.93,26.52,89.66
