report_year,report_week,district,year,week,cases
2023,2,Hambantota,2023,1,10.0
2023,2,Hambantota,2023,2,14.0
2023,2,Matara,2022,1,44.0
2023,2,Matara,2022,2,37.0
2023,2,Matara,2023,1,33.0
2023,2,Matara,2023,2,28.0
2023,2,Jaffna,2022,1,31.0
2023,2,Jaffna,2022,2,47.0
2023,2,Jaffna,2023,1,128.0
2023,2,Jaffna,2023,2,103.0
2023,2,Kilinochchi,2022,1,4.0
2023,2,Kilinochchi,2022,2,1.0
2023,2,Kilinochchi,2023,1,4.0
2023,2,Kilinochchi,2023,2,3.0
2023,2,Mannar,2022,1,28.0
2023,2,Mannar,2022,2,28.0
2023,2,Mannar,2023,1,0.0
2023,2,Mannar,2023,2,17.0
2023,2,Vavuniya,2022,1,2.0
2023,2,Vavuniya,2022,2,8.0
2023,2,Vavuniya,2023,1,3.0
2023,2,Vavuniya,2023,2,1.0
2023,2,Mullaitivu,2022,1,0.0
2023,2,Mullaitivu,2022,2,1.0
2023,2,Mullaitivu,2023,1,32.0
2023,2,Mullaitivu,2023,2,2.0
2023,2,Batticaloa,2022,1,26.0
2023,2,Batticaloa,2022,2,32.0
2023,2,Batticaloa,2023,1,36.0
2023,2,Batticaloa,2023,2,28.0
2023,2,Ampara,2022,1,8.0
2023,2,Ampara,2022,2,7.0
2023,2,Ampara,2023,1,3.0
2023,2,Ampara,2023,2,3.0
2023,2,Trincomalee,2022,1,23.0
2023,2,Trincomalee,2022,2,24.0
2023,2,Trincomalee,2023,1,16.0
2023,2,Trincomalee,2023,2,31.0
2023,2,Kalmunai,2022,1,27.0
2023,2,Kalmunai,2022,2,17.0
2023,2,Kalmunai,2023,1,147.0
2023,2,Kalmunai,2023,2,107.0
2023,2,Kurunegala,2022,1,115.0
2023,2,Kurunegala,2022,2,157.0
2023,2,Kurunegala,2023,1,56.0
2023,2,Kurunegala,2023,2,73.0
2023,2,Puttalam,2022,1,104.0
2023,2,Puttalam,2022,2,138.0
2023,2,Puttalam,2023,1,273.0
2023,2,Puttalam,2023,2,257.0
2023,2,Anuradhapura,2022,1,12.0
2023,2,Anuradhapura,2022,2,15.0
2023,2,Anuradhapura,2023,1,13.0
2023,2,Anuradhapura,2023,2,13.0
2023,2,Polonnaruwa,2022,1,7.0
2023,2,Polonnaruwa,2022,2,9.0
2023,2,Polonnaruwa,2023,1,27.0
2023,2,Polonnaruwa,2023,2,13.0
2023,2,Badulla,2022,1,64.0
2023,2,Badulla,2022,2,55.0
2023,2,Badulla,2023,1,45.0
2023,2,Badulla,2023,2,31.0
2023,2,Monaragala,2022,1,8.0
2023,2,Monaragala,2022,2,12.0
2023,2,Monaragala,2023,1,11.0
2023,2,Monaragala,2023,2,15.0
2023,2,Ratnapura,2022,1,65.0
2023,2,Ratnapura,2022,2,65.0
2023,2,Ratnapura,2023,1,66.0
2023,2,Ratnapura,2023,2,55.0
2023,2,Kegalle,2022,1,55.0
2023,2,Kegalle,2022,2,49.0
2023,2,Kegalle,2023,1,71.0
2023,2,Kegalle,2023,2,64.0
2023,2,Total,2022,1,2057.0
2023,2,Total,2022,2,2081.0
2023,2,Total,2023,1,2142.0
2023,2,Total,2023,2,2030.0
2023,3,Colombo,2022,2,528.0
2023,3,Colombo,2022,3,411.0
2023,3,Colombo,2023,2,452.0
2023,3,Colombo,2023,3,394.0
2023,3,Gampaha,2022,2,442.0
2023,3,Gampaha,2022,3,305.0
2023,3,Gampaha,2023,2,417.0
2023,3,Gampaha,2023,3,437.0
2023,3,Kalutara,2022,2,155.0
2023,3,Kalutara,2022,3,120.0
2023,3,Kalutara,2023,2,123.0
2023,3,Kalutara,2023,3,110.0
